start_utc,end_utc,start_berlin,end_berlin,price_eur_per_mwh,market,bidding_zone,source
2024-01-03 07:00:00+00:00,2024-01-03 08:00:00+00:00,2024-01-03 08:00:00+01:00,2024-01-03 09:00:00+01:00,59.61,Day-ahead auction,Germany/Luxembourg,SMARD
2024-01-03 08:00:00+00:00,2024-01-03 09:00:00+00:00,2024-01-03 09:00:00+01:00,2024-01-03 10:00:00+01:00,60.61,Day-ahead auction,Germany/Luxembourg,SMARD
2024-01-03 09:00:00+00:00,2024-01-03 10:00:00+00:00,2024-01-03 10:00:00+01:00,2024-01-03 11:00:00+01:00,57.0,Day-ahead auction,Germany/Luxembourg,SMARD
2024-01-03 10:00:00+00:00,2024-01-03 11:00:00+00:00,2024-01-03 11:00:00+01:00,2024-01-03 12:00:00+01:00,54.89,Day-ahead auction,Germany/Luxembourg,SMARD
2024-01-03 11:00:00+00:00,2024-01-03 12:00:00+00:00,2024-01-03 12:00:00+01:00,2024-01-03 13:00:00+01:00,53.89,Day-ahead auction,Germany/Luxembourg,SMARD
2024-01-03 12:00:00+00:00,2024-01-03 13:00:00+00:00,2024-01-03 13:00:00+01:00,2024-01-03 14:00:00+01:00,54.42,Day-ahead auction,Germany/Luxembourg,SMARD
2024-01-03 13:00:00+00:00,2024-01-03 14:00:00+00:00,2024-01-03 14:00:00+01:00,2024-01-03 15:00:00+01:00,60.86,Day-ahead auction,Germany/Luxembourg,SMARD
2024-01-03 14:00:00+00:00,2024-01-03 15:00:00+00:00,2024-01-03 15:00:00+01:00,2024-01-03 16:00:00+01:00,67.18,Day-ahead auction,Germany/Luxembourg,SMARD
2024-01-03 15:00:00+00:00,2024-01-03 16:00:00+00:00,2024-01-03 16:00:00+01:00,2024-01-03 17:00:00+01:00,73.59,Day-ahead auction,Germany/Luxembourg,SMARD
2024-01-03 16:00:00+00:00,2024-01-03 17:00:00+00:00,2024-01-03 17:00:00+01:00,2024-01-03 18:00:00+01:00,82.28,Day-ahead auction,Germany/Luxembourg,SMARD
2024-01-03 17:00:00+00:00,2024-01-03 18:00:00+00:00,2024-01-03 18:00:00+01:00,2024-01-03 19:00:00+01:00,82.97,Day-ahead auction,Germany/Luxembourg,SMARD
2024-01-03 18:00:00+00:00,2024-01-03 19:00:00+00:00,2024-01-03 19:00:00+01:00,2024-01-03 20:00:00+01:00,79.03,Day-ahead auction,Germany/Luxembourg,SMARD
2024-01-03 19:00:00+00:00,2024-01-03 20:00:00+00:00,2024-01-03 20:00:00+01:00,2024-01-03 21:00:00+01:00,73.23,Day-ahead auction,Germany/Luxembourg,SMARD
2024-01-03 20:00:00+00:00,2024-01-03 21:00:00+00:00,2024-01-03 21:00:00+01:00,2024-01-03 22:00:00+01:00,67.41,Day-ahead auction,Germany/Luxembourg,SMARD
2024-01-03 21:00:00+00:00,2024-01-03 22:00:00+00:00,2024-01-03 22:00:00+01:00,2024-01-03 23:00:00+01:00,65.0,Day-ahead auction,Germany/Luxembourg,SMARD
2024-01-03 22:00:00+00:00,2024-01-03 23:00:00+00:00,2024-01-03 23:00:00+01:00,2024-01-04 00:00:00+01:00,58.12,Day-ahead auction,Germany/Luxembourg,SMARD
2024-01-03 23:00:00+00:00,2024-01-04 00:00:00+00:00,2024-01-04 00:00:00+01:00,2024-01-04 01:00:00+01:00,57.3,Day-ahead auction,Germany/Luxembourg,SMARD
2024-01-04 00:00:00+00:00,2024-01-04 01:00:00+00:00,2024-01-04 01:00:00+01:00,2024-01-04 02:00:00+01:00,50.46,Day-ahead auction,Germany/Luxembourg,SMARD
2024-01-04 01:00:00+00:00,2024-01-04 02:00:00+00:00,2024-01-04 02:00:00+01:00,2024-01-04 03:00:00+01:00,40.0,Day-ahead auction,Germany/Luxembourg,SMARD
2024-01-04 02:00:00+00:00,2024-01-04 03:00:00+00:00,2024-01-04 03:00:00+01:00,2024-01-04 04:00:00+01:00,25.48,Day-ahead auction,Germany/Luxembourg,SMARD
2024-01-04 03:00:00+00:00,2024-01-04 04:00:00+00:00,2024-01-04 04:00:00+01:00,2024-01-04 05:00:00+01:00,35.0,Day-ahead auction,Germany/Luxembourg,SMARD
2024-01-04 04:00:00+00:00,2024-01-04 05:00:00+00:00,2024-01-04 05:00:00+01:00,2024-01-04 06:00:00+01:00,57.73,Day-ahead auction,Germany/Luxembourg,SMARD
2024-01-04 05:00:00+00:00,2024-01-04 06:00:00+00:00,2024-01-04 06:00:00+01:00,2024-01-04 07:00:00+01:00,72.65,Day-ahead auction,Germany/Luxembourg,SMARD
2024-01-04 06:00:00+00:00,2024-01-04 07:00:00+00:00,2024-01-04 07:00:00+01:00,2024-01-04 08:00:00+01:00,85.02,Day-ahead auction,Germany/Luxembourg,SMARD
2024-01-04 07:00:00+00:00,2024-01-04 08:00:00+00:00,2024-01-04 08:00:00+01:00,2024-01-04 09:00:00+01:00,91.47,Day-ahead auction,Germany/Luxembourg,SMARD
2024-01-04 08:00:00+00:00,2024-01-04 09:00:00+00:00,2024-01-04 09:00:00+01:00,2024-01-04 10:00:00+01:00,94.2,Day-ahead auction,Germany/Luxembourg,SMARD
2024-01-04 09:00:00+00:00,2024-01-04 10:00:00+00:00,2024-01-04 10:00:00+01:00,2024-01-04 11:00:00+01:00,91.61,Day-ahead auction,Germany/Luxembourg,SMARD
2024-01-04 10:00:00+00:00,2024-01-04 11:00:00+00:00,2024-01-04 11:00:00+01:00,2024-01-04 12:00:00+01:00,90.03,Day-ahead auction,Germany/Luxembourg,SMARD
2024-01-04 11:00:00+00:00,2024-01-04 12:00:00+00:00,2024-01-04 12:00:00+01:00,2024-01-04 13:00:00+01:00,86.3,Day-ahead auction,Germany/Luxembourg,SMARD
2024-01-04 12:00:00+00:00,2024-01-04 13:00:00+00:00,2024-01-04 13:00:00+01:00,2024-01-04 14:00:00+01:00,85.96,Day-ahead auction,Germany/Luxembourg,SMARD
2024-01-04 13:00:00+00:00,2024-01-04 14:00:00+00:00,2024-01-04 14:00:00+01:00,2024-01-04 15:00:00+01:00,92.11,Day-ahead auction,Germany/Luxembourg,SMARD
2024-01-04 14:00:00+00:00,2024-01-04 15:00:00+00:00,2024-01-04 15:00:00+01:00,2024-01-04 16:00:00+01:00,98.62,Day-ahead auction,Germany/Luxembourg,SMARD
2024-01-04 15:00:00+00:00,2024-01-04 16:00:00+00:00,2024-01-04 16:00:00+01:00,2024-01-04 17:00:00+01:00,105.73,Day-ahead auction,Germany/Luxembourg,SMARD
2024-01-04 16:00:00+00:00,2024-01-04 17:00:00+00:00,2024-01-04 17:00:00+01:00,2024-01-04 18:00:00+01:00,133.23,Day-ahead auction,Germany/Luxembourg,SMARD
2024-01-04 17:00:00+00:00,2024-01-04 18:00:00+00:00,2024-01-04 18:00:00+01:00,2024-01-04 19:00:00+01:00,144.65,Day-ahead auction,Germany/Luxembourg,SMARD
2024-01-04 18:00:00+00:00,2024-01-04 19:00:00+00:00,2024-01-04 19:00:00+01:00,2024-01-04 20:00:00+01:00,125.0,Day-ahead auction,Germany/Luxembourg,SMARD
2024-01-04 19:00:00+00:00,2024-01-04 20:00:00+00:00,2024-01-04 20:00:00+01:00,2024-01-04 21:00:00+01:00,103.59,Day-ahead auction,Germany/Luxembourg,SMARD
2024-01-04 20:00:00+00:00,2024-01-04 21:00:00+00:00,2024-01-04 21:00:00+01:00,2024-01-04 22:00:00+01:00,100.01,Day-ahead auction,Germany/Luxembourg,SMARD
2024-01-04 21:00:00+00:00,2024-01-04 22:00:00+00:00,2024-01-04 22:00:00+01:00,2024-01-04 23:00:00+01:00,94.86,Day-ahead auction,Germany/Luxembourg,SMARD
2024-01-04 22:00:00+00:00,2024-01-04 23:00:00+00:00,2024-01-04 23:00:00+01:00,2024-01-05 00:00:00+01:00,88.83,Day-ahead auction,Germany/Luxembourg,SMARD
2024-01-04 23:00:00+00:00,2024-01-05 00:00:00+00:00,2024-01-05 00:00:00+01:00,2024-01-05 01:00:00+01:00,86.08,Day-ahead auction,Germany/Luxembourg,SMARD
2024-01-05 00:00:00+00:00,2024-01-05 01:00:00+00:00,2024-01-05 01:00:00+01:00,2024-01-05 02:00:00+01:00,80.51,Day-ahead auction,Germany/Luxembourg,SMARD
2024-01-05 01:00:00+00:00,2024-01-05 02:00:00+00:00,2024-01-05 02:00:00+01:00,2024-01-05 03:00:00+01:00,77.01,Day-ahead auction,Germany/Luxembourg,SMARD
2024-01-05 02:00:00+00:00,2024-01-05 03:00:00+00:00,2024-01-05 03:00:00+01:00,2024-01-05 04:00:00+01:00,73.21,Day-ahead auction,Germany/Luxembourg,SMARD
2024-01-05 03:00:00+00:00,2024-01-05 04:00:00+00:00,2024-01-05 04:00:00+01:00,2024-01-05 05:00:00+01:00,74.05,Day-ahead auction,Germany/Luxembourg,SMARD
2024-01-05 04:00:00+00:00,2024-01-05 05:00:00+00:00,2024-01-05 05:00:00+01:00,2024-01-05 06:00:00+01:00,76.03,Day-ahead auction,Germany/Luxembourg,SMARD
2024-01-05 05:00:00+00:00,2024-01-05 06:00:00+00:00,2024-01-05 06:00:00+01:00,2024-01-05 07:00:00+01:00,81.0,Day-ahead auction,Germany/Luxembourg,SMARD
2024-01-05 06:00:00+00:00,2024-01-05 07:00:00+00:00,2024-01-05 07:00:00+01:00,2024-01-05 08:00:00+01:00,87.0,Day-ahead auction,Germany/Luxembourg,SMARD
2024-01-05 07:00:00+00:00,2024-01-05 08:00:00+00:00,2024-01-05 08:00:00+01:00,2024-01-05 09:00:00+01:00,89.57,Day-ahead auction,Germany/Luxembourg,SMARD
2024-01-05 08:00:00+00:00,2024-01-05 09:00:00+00:00,2024-01-05 09:00:00+01:00,2024-01-05 10:00:00+01:00,94.93,Day-ahead auction,Germany/Luxembourg,SMARD
2024-01-05 09:00:00+00:00,2024-01-05 10:00:00+00:00,2024-01-05 10:00:00+01:00,2024-01-05 11:00:00+01:00,96.28,Day-ahead auction,Germany/Luxembourg,SMARD
2024-01-05 10:00:00+00:00,2024-01-05 11:00:00+00:00,2024-01-05 11:00:00+01:00,2024-01-05 12:00:00+01:00,98.22,Day-ahead auction,Germany/Luxembourg,SMARD
2024-01-05 11:00:00+00:00,2024-01-05 12:00:00+00:00,2024-01-05 12:00:00+01:00,2024-01-05 13:00:00+01:00,92.24,Day-ahead auction,Germany/Luxembourg,SMARD
2024-01-05 12:00:00+00:00,2024-01-05 13:00:00+00:00,2024-01-05 13:00:00+01:00,2024-01-05 14:00:00+01:00,91.54,Day-ahead auction,Germany/Luxembourg,SMARD
