station_id,station_name,latitude,longitude,height_m_amsl
04692,Siegen (Kläranlage) Nordrhein-Westfalen,50.8534,7.9966,229.0
04703,Sigmaringen-Laiz Baden-Württemberg,48.0719,9.1943,581.0
04704,Sigmarszell-Zeisertsweiler Bayern,47.5776,9.7404,508.0
04706,Simbach/Inn Bayern,48.2718,13.0273,358.0
04709,Simmern-Wahlbach Rheinland-Pfalz,49.9996,7.5981,445.0
04745,Soltau Niedersachsen,52.9604,9.793,75.0
04748,Sondershausen Thüringen,51.3691,10.88,185.0
04752,Sonneberg-Neufang Thüringen,50.3746,11.1828,626.0
04763,Sontra Hessen,51.0607,9.9266,265.0
04813,"Staffelstein, Bad-Stublang Bayern",50.0806,11.0467,318.0
04841,"Steinau, Kr. Cuxhaven Niedersachsen",53.6946,8.8735,-0.0
04857,Mittelnkirchen-Hohenfelde Niedersachsen,53.5534,9.6097,2.0
04878,Oberharz am Brocken-Stiege Sachsen-Anhalt,51.6647,10.881,505.0
04887,Stötten Baden-Württemberg,48.6656,9.8648,734.0
04896,Wagersrott Schleswig-Holstein,54.6654,9.805,40.0
04911,Straubing Bayern,48.8275,12.5597,351.0
04926,Stuttgart (Neckartal) Baden-Württemberg,48.7896,9.2167,224.0
04928,Stuttgart (Schnarrenberg) Baden-Württemberg,48.8281,9.2,314.0
04931,Stuttgart-Echterdingen Baden-Württemberg,48.6883,9.2235,371.0
04978,Tann/Rhön Hessen,50.639,10.0228,395.0
04997,Starkenberg-Tegkwitz Thüringen,50.9771,12.3419,196.0
05009,Teterow Mecklenburg-Vorpommern,53.761,12.5574,37.0
05014,Worpswede-Hüttenbusch Niedersachsen,53.2758,8.9857,7.0
05017,Teuschnitz Bayern,50.4002,11.3888,633.0
05029,Tholey Saarland,49.4737,7.0385,387.0
05046,Tirschenreuth-Lodermühl Bayern,49.8576,12.3542,501.0
05049,Titisee-Neustadt-Titisee Baden-Württemberg,47.8991,8.146,846.0
05064,Tönisvorst Nordrhein-Westfalen,51.2897,6.4437,37.0
05097,Tribsees Mecklenburg-Vorpommern,54.0654,12.7655,10.0
05099,Trier-Zewen Rheinland-Pfalz,49.7326,6.6131,132.0
05100,Trier-Petrisberg Rheinland-Pfalz,49.7479,6.6583,261.0
05109,Trollenhagen Mecklenburg-Vorpommern,53.5998,13.3039,68.0
05111,Trostberg Bayern,48.0311,12.5396,560.0
05133,Twistetal-Mühlhausen Hessen,51.3344,8.9132,287.0
